Time,vRoot
1.0,0.28974
2.0,0.19288
3.0,0.181
4.0,0.24215
5.0,0.26185
6.0,0.28259
7.0,0.28295
8.0,0.2661
9.0,0.26683
10.0,0.27204
11.0,0.28356
12.0,0.21089
13.0,0.292
14.0,0.22167
15.0,0.20753
16.0,0.30333
17.0,0.27595
18.0,0.30619
19.0,0.34184
20.0,0.3347
21.0,0.24545
22.0,0.15431
23.0,0.13574
24.0,0.28438
25.0,0.31253
26.0,0.36111
27.0,0.27257
28.0,0.25884
29.0,0.2546
30.0,0.3266
31.0,0.20849
32.0,0.17313
33.0,0.13104
34.0,0.19748
35.0,0.14661
36.0,0.44699
37.0,0.27663
38.0,0.47887
39.0,0.52917
40.0,0.38055
41.0,0.30805
42.0,0.47095
43.0,0.32651
44.0,0.38277
45.0,0.38359
46.0,0.29078
47.0,0.16484
48.0,0.28469
49.0,0.42119
50.0,0.533
51.0,0.35863
52.0,0.28404
53.0,0.20681
54.0,0.15589
55.0,0.2877
56.0,0.57653
57.0,0.5701
58.0,0.61142
59.0,0.49353
60.0,0.43753
61.0,0.37791
62.0,0.43494
63.0,0.3781
64.0,0.45326
65.0,0.4005
66.0,0.49092
67.0,0.48039
68.0,0.51007
69.0,0.57658
70.0,0.52808
71.0,0.52367
72.0,0.50166
73.0,0.41911
74.0,0.45923
75.0,0.5118
76.0,0.5009
77.0,0.50671
78.0,0.49348
79.0,0.4378
80.0,0.32677
81.0,0.38723
82.0,0.45889
83.0,0.48865
84.0,0.46283
85.0,0.46084
86.0,0.56657
87.0,0.47993
88.0,0.51277
89.0,0.45842
90.0,0.37014
91.0,0.58996
92.0,0.61951
93.0,0.60637
94.0,0.40097
95.0,0.36832
96.0,0.59499
97.0,0.43637
98.0,0.51229
99.0,0.54046
100.0,0.56707
101.0,0.57145
102.0,0.44321
103.0,0.53577
104.0,0.55123
105.0,0.52113
106.0,0.4114
107.0,0.49042
108.0,0.40984
109.0,0.52945
110.0,0.55611
111.0,0.49706
112.0,0.48902
113.0,0.46785
114.0,0.60531
115.0,0.58119
116.0,0.46156
117.0,0.51993
118.0,0.54494
119.0,0.56961
120.0,0.59282
121.0,0.63891
122.0,0.5732
123.0,0.62599
124.0,0.55869
125.0,0.37814
126.0,0.63205
127.0,0.51071
128.0,0.66807
129.0,0.63795
130.0,0.61247
131.0,0.62823
132.0,0.58191
133.0,0.48178
134.0,0.62367
135.0,0.64412
136.0,0.62207
137.0,0.61126
138.0,0.62267
139.0,0.60425
140.0,0.5992
141.0,0.6066
142.0,0.63248
143.0,0.69267
144.0,0.50599
145.0,0.60431
146.0,0.48148
147.0,0.61802
148.0,0.49226
149.0,0.53221
150.0,0.47148
151.0,0.47952
152.0,0.47301
153.0,0.51
154.0,0.58201
155.0,0.58316
156.0,0.50757
157.0,0.68582
158.0,0.55173
159.0,0.66841
160.0,0.5351
161.0,0.58082
162.0,0.52966
163.0,0.55656
164.0,0.60464
165.0,0.55482
166.0,0.6772
167.0,0.58704
168.0,0.60248
169.0,0.66862
170.0,0.72068
171.0,0.5588
172.0,0.49635
173.0,0.50345
174.0,0.57458
175.0,0.50119
176.0,0.52355
177.0,0.60591
178.0,0.513
179.0,0.47343
180.0,0.51535
181.0,0.45422
182.0,0.47318
183.0,0.58983
184.0,0.53057
185.0,0.55599
186.0,0.57456
187.0,0.6781
188.0,0.71921
189.0,0.69121
190.0,0.65314
191.0,0.66456
192.0,0.72771
193.0,0.6223
194.0,0.58255
195.0,0.50117
196.0,0.46332
197.0,0.55831
198.0,0.59638
199.0,0.49655
200.0,0.59367
201.0,0.54198
202.0,0.53088
203.0,0.47356
204.0,0.4714
205.0,0.51912
206.0,0.52067
207.0,0.61048
208.0,0.54717
209.0,0.64638
210.0,0.60926
211.0,0.60155
212.0,0.62202
213.0,0.54685
214.0,0.65143
215.0,0.4281
216.0,0.54561
217.0,0.62703
218.0,0.5135
219.0,0.52397
220.0,0.50094
221.0,0.39359
222.0,0.56068
223.0,0.5962
224.0,0.5351
225.0,0.58919
226.0,0.63141
227.0,0.55983
228.0,0.53995
229.0,0.51238
230.0,0.51039
231.0,0.57956
232.0,0.55705
233.0,0.62343
234.0,0.63373
235.0,0.57542
236.0,0.49479
237.0,0.45295
238.0,0.45506
239.0,0.50463
240.0,0.45088
241.0,0.50271
242.0,0.44893
243.0,0.33217
244.0,0.49207
245.0,0.5619
246.0,0.48298
247.0,0.50433
248.0,0.57018
249.0,0.45096
250.0,0.4155
251.0,0.45535
252.0,0.45914
253.0,0.48329
254.0,0.46245
255.0,0.43328
256.0,0.43486
257.0,0.42738
258.0,0.42608
259.0,0.3935
260.0,0.40024
261.0,0.36276
262.0,0.53595
263.0,0.51551
264.0,0.42888
265.0,0.40797
266.0,0.35659
267.0,0.37894
268.0,0.38675
269.0,0.42745
270.0,0.36019
271.0,0.31536
272.0,0.40497
273.0,0.43217
274.0,0.40684
275.0,0.49952
276.0,0.46138
277.0,0.4199
278.0,0.44199
279.0,0.4788
280.0,0.43809
281.0,0.51696
282.0,0.48276
283.0,0.49116
284.0,0.40128
285.0,0.46689
286.0,0.39741
287.0,0.29955
288.0,0.32189
289.0,0.39207
290.0,0.432
291.0,0.36388
292.0,0.36278
293.0,0.46265
294.0,0.37901
295.0,0.47521
296.0,0.43609
297.0,0.54782
298.0,0.39163
299.0,0.39669
300.0,0.47707
301.0,0.32287
302.0,0.36656
303.0,0.38019
304.0,0.33962
305.0,0.29907
306.0,0.41611
307.0,0.43567
308.0,0.32009
