Time,vRoot
1.0,0.12885
2.0,0.18198
3.0,0.25819
4.0,0.15103
5.0,0.15025
6.0,0.25295
7.0,0.15271
8.0,0.18091
9.0,0.11875
10.0,0.14234
11.0,0.18842
12.0,0.2181
13.0,0.20326
14.0,0.17996
15.0,0.24102
16.0,0.14405
17.0,0.18516
18.0,0.22212
19.0,0.18183
20.0,0.18687
21.0,0.28183
22.0,0.25988
23.0,0.23526
24.0,0.31515
25.0,0.23564
26.0,0.30244
27.0,0.30819
28.0,0.26695
29.0,0.17872
30.0,0.36703
31.0,0.55108
32.0,0.66302
33.0,0.45594
34.0,0.33395
35.0,0.4756
36.0,0.47872
37.0,0.47107
38.0,0.37657
39.0,0.46365
40.0,0.48486
41.0,0.43898
42.0,0.29048
43.0,0.28929
44.0,0.31469
45.0,0.34992
46.0,0.34091
47.0,0.33834
48.0,0.41395
49.0,0.35689
50.0,0.22946
51.0,0.29884
52.0,0.39061
53.0,0.55484
54.0,0.38208
55.0,0.39533
56.0,0.36466
57.0,0.35486
58.0,0.32897
59.0,0.31034
60.0,0.2996
61.0,0.33672
62.0,0.46751
63.0,0.40832
64.0,0.52535
65.0,0.46539
66.0,0.5451
67.0,0.4577
68.0,0.4733
69.0,0.43444
70.0,0.40369
71.0,0.6409
72.0,0.51316
73.0,0.4299
74.0,0.50461
75.0,0.4594
76.0,0.57466
77.0,0.48587
78.0,0.55777
79.0,0.56207
80.0,0.53093
81.0,0.64464
82.0,0.72711
83.0,0.60968
84.0,0.50633
85.0,0.55346
86.0,0.56777
87.0,0.56901
88.0,0.6968
89.0,0.55358
90.0,0.44748
91.0,0.47497
92.0,0.5275
93.0,0.50361
94.0,0.57474
95.0,0.5742
96.0,0.56417
97.0,0.70146
98.0,0.65818
99.0,0.50177
100.0,0.60476
101.0,0.27093
102.0,0.39134
103.0,0.50888
104.0,0.54976
105.0,0.70016
106.0,0.78457
107.0,0.70301
108.0,0.63739
109.0,0.62146
110.0,0.60261
111.0,0.65023
112.0,0.73695
113.0,0.81732
114.0,0.68918
115.0,0.71169
116.0,0.81847
117.0,0.64203
118.0,0.67894
119.0,0.66675
120.0,0.65623
121.0,0.62791
122.0,0.52482
123.0,0.52338
124.0,0.57937
125.0,0.82735
126.0,0.91199
127.0,0.60012
128.0,0.56242
129.0,0.61721
130.0,0.63762
131.0,0.68844
132.0,0.63734
133.0,0.7451
134.0,0.78548
135.0,0.80709
136.0,0.80377
137.0,0.71179
138.0,0.69205
139.0,0.64847
140.0,0.73103
141.0,0.94107
142.0,0.78883
143.0,0.68039
144.0,0.65634
145.0,0.64588
146.0,0.65292
147.0,0.7028
148.0,0.69404
149.0,0.74768
150.0,0.76395
151.0,0.62309
152.0,0.62999
153.0,0.61727
154.0,0.56743
155.0,0.5465
156.0,0.53723
157.0,0.46468
158.0,0.42982
159.0,0.37335
160.0,0.34068
161.0,0.31012
162.0,0.26116
163.0,0.25948
164.0,0.22409
165.0,0.18758
166.0,0.16796
167.0,0.14935
168.0,0.12343
169.0,0.10623
170.0,0.087732
171.0,0.078969
172.0,0.069953
173.0,0.059367
174.0,0.052223
175.0,0.04653
176.0,0.042973
177.0,0.04042
178.0,0.038126
179.0,0.036148
180.0,0.034291
181.0,0.032655
182.0,0.031188
183.0,0.098327
184.0,0.068809
185.0,0.03522
186.0,0.022311
187.0,0.025483
188.0,0.025809
189.0,0.012565
190.0,0.017219
191.0,0.01951
192.0,0.020244
193.0,0.020746
194.0,0.020559
195.0,0.020472
196.0,0.020123
197.0,0.019866
198.0,0.01949
199.0,0.019113
200.0,0.24567
201.0,0.064669
202.0,0.025737
203.0,0.015775
204.0,0.01763
205.0,0.017811
206.0,0.0087409
207.0,0.011775
208.0,0.013294
209.0,0.014235
210.0,0.014514
211.0,0.95014
212.0,0.7538
213.0,0.087021
214.0,0.050515
215.0,0.51354
216.0,0.072266
217.0,0.02353
218.0,0.012955
219.0,0.014284
220.0,0.014274
221.0,0.0070114
222.0,0.009588
223.0,0.17093
224.0,0.024082
225.0,0.013357
226.0,0.01092
