Time,PET
1.0,0.12885
2.0,0.18198
3.0,0.25819
4.0,0.15103
5.0,0.15025
6.0,0.25295
7.0,0.15271
8.0,0.18091
9.0,0.11875
10.0,0.14234
11.0,0.18842
12.0,0.2181
13.0,0.20326
14.0,0.17996
15.0,0.24103
16.0,0.14405
17.0,0.18516
18.0,0.22212
19.0,0.18183
20.0,0.18687
21.0,0.28183
22.0,0.25988
23.0,0.23526
24.0,0.31515
25.0,0.23564
26.0,0.30244
27.0,0.30819
28.0,0.26695
29.0,0.17872
30.0,0.36703
31.0,0.55108
32.0,0.66302
33.0,0.45594
34.0,0.33395
35.0,0.4756
36.0,0.47872
37.0,0.47107
38.0,0.37657
39.0,0.46365
40.0,0.48485
41.0,0.43898
42.0,0.29048
43.0,0.28929
44.0,0.31469
45.0,0.34992
46.0,0.34091
47.0,0.33834
48.0,0.41395
49.0,0.35689
50.0,0.22946
51.0,0.29884
52.0,0.39061
53.0,0.55484
54.0,0.38208
55.0,0.39533
56.0,0.36466
57.0,0.35486
58.0,0.32897
59.0,0.31034
60.0,0.29959
61.0,0.33672
62.0,0.46751
63.0,0.40832
64.0,0.52535
65.0,0.46539
66.0,0.5451
67.0,0.4577
68.0,0.4733
69.0,0.43444
70.0,0.4037
71.0,0.6409
72.0,0.51316
73.0,0.4299
74.0,0.50462
75.0,0.4594
76.0,0.57466
77.0,0.48587
78.0,0.55777
79.0,0.56208
80.0,0.53093
81.0,0.64464
82.0,0.72711
83.0,0.60968
84.0,0.50633
85.0,0.55346
86.0,0.56778
87.0,0.56901
88.0,0.6968
89.0,0.55358
90.0,0.44748
91.0,0.47497
92.0,0.5275
93.0,0.50361
94.0,0.57474
95.0,0.5742
96.0,0.56417
97.0,0.70146
98.0,0.65817
99.0,0.50177
100.0,0.60476
101.0,0.27093
102.0,0.39134
103.0,0.50888
104.0,0.54976
105.0,0.70016
106.0,0.78457
107.0,0.70301
108.0,0.63739
109.0,0.626
110.0,0.60767
111.0,0.65761
112.0,0.74867
113.0,0.83407
114.0,0.70023
115.0,0.72456
116.0,0.8383
117.0,0.65278
118.0,0.69244
119.0,0.6804
120.0,0.67078
121.0,0.62791
122.0,0.52482
123.0,0.52338
124.0,0.58009
125.0,0.83403
126.0,0.94634
127.0,0.60012
128.0,0.56267
129.0,0.62156
130.0,0.64005
131.0,0.71286
132.0,0.66581
133.0,0.79407
134.0,0.84782
135.0,0.88186
136.0,0.88754
137.0,0.784
138.0,0.69229
139.0,0.65241
140.0,0.75058
141.0,0.98566
142.0,0.84859
143.0,0.75284
144.0,0.75109
145.0,0.76013
146.0,0.78944
147.0,0.71185
148.0,0.71843
149.0,0.80717
150.0,0.85431
151.0,0.71814
152.0,0.8167
153.0,0.90423
154.0,0.91762
155.0,0.98151
156.0,1.082
157.0,0.99774
158.0,1.0121
159.0,0.93355
160.0,0.92497
161.0,0.91625
162.0,0.80265
163.0,0.9347
164.0,0.89862
165.0,0.82196
166.0,0.86339
167.0,0.95289
168.0,0.87576
169.0,0.90451
170.0,0.77398
171.0,0.95913
172.0,1.1121
173.0,0.99492
174.0,1.0425
175.0,1.0463
176.0,0.98569
177.0,0.89459
178.0,0.86323
179.0,0.84633
180.0,1.0297
181.0,0.82037
182.0,0.64236
183.0,0.85269
184.0,0.93357
185.0,0.93314
186.0,0.92299
187.0,0.98342
188.0,0.9928
189.0,0.94069
190.0,0.96591
191.0,0.93381
192.0,0.96621
193.0,1.0308
194.0,0.96591
195.0,0.88758
196.0,0.87835
197.0,0.97387
198.0,0.91805
199.0,0.88368
200.0,0.85448
201.0,0.84566
202.0,0.68412
203.0,0.74844
204.0,0.82732
205.0,0.93822
206.0,0.97236
207.0,0.83959
208.0,0.8697
209.0,1.027
210.0,0.93297
211.0,0.95014
212.0,0.80937
213.0,0.8764
214.0,0.7898
215.0,0.80384
216.0,0.78036
217.0,0.72331
218.0,0.74887
219.0,0.78293
220.0,0.87762
221.0,1.0279
222.0,0.86458
223.0,0.777
224.0,0.67334
225.0,0.79181
226.0,0.86543
227.0,0.82509
