Time,PET
1.0,0.091081
2.0,0.16117
3.0,0.18624
4.0,0.21633
5.0,0.22431
6.0,0.21008
7.0,0.2335
8.0,0.11
9.0,0.13449
10.0,0.099132
11.0,0.19482
12.0,0.26852
13.0,0.20732
14.0,0.19291
15.0,0.23317
16.0,0.22154
17.0,0.16962
18.0,0.21743
19.0,0.19482
20.0,0.18883
21.0,0.13598
22.0,0.064421
23.0,0.12778
24.0,0.18951
25.0,0.20716
26.0,0.18482
27.0,0.14502
28.0,0.05
29.0,0.28087
30.0,0.22008
31.0,0.14897
32.0,0.16896
33.0,0.16019
34.0,0.06
35.0,0.043919
36.0,0.20989
37.0,0.30808
38.0,0.4637
39.0,0.39796
40.0,0.26635
41.0,0.3181
42.0,0.33493
43.0,0.3152
44.0,0.38111
45.0,0.4679
46.0,0.18718
47.0,0.14003
48.0,0.25839
49.0,0.25003
50.0,0.3
51.0,0.23525
52.0,0.21645
53.0,0.18957
54.0,0.19464
55.0,0.42055
56.0,0.46597
57.0,0.31528
58.0,0.35046
59.0,0.44567
60.0,0.54332
61.0,0.38092
62.0,0.30267
63.0,0.33162
64.0,0.17818
65.0,0.23418
66.0,0.30863
67.0,0.35982
68.0,0.35089
69.0,0.43257
70.0,0.47992
71.0,0.48645
72.0,0.51453
73.0,0.39858
74.0,0.46999
75.0,0.50431
76.0,0.53111
77.0,0.45944
78.0,0.39254
79.0,0.31506
80.0,0.30676
81.0,0.38711
82.0,0.41611
83.0,0.49034
84.0,0.51771
85.0,0.3015
86.0,0.3293
87.0,0.27907
88.0,0.3926
89.0,0.44184
90.0,0.49171
91.0,0.51154
92.0,0.21309
93.0,0.398
94.0,0.49484
95.0,0.50288
96.0,0.50919
97.0,0.44154
98.0,0.51161
99.0,0.50265
100.0,0.51503
101.0,0.41457
102.0,0.39154
103.0,0.30632
104.0,0.30667
105.0,0.36658
106.0,0.22518
107.0,0.42639
108.0,0.50619
109.0,0.50628
110.0,0.51604
111.0,0.49255
112.0,0.48664
113.0,0.40402
114.0,0.46062
115.0,0.5329
116.0,0.53
117.0,0.46419
118.0,0.56142
119.0,0.46071
120.0,0.59982
121.0,0.64115
122.0,0.40512
123.0,0.47338
124.0,0.50008
125.0,0.51607
126.0,0.5192
127.0,0.48974
128.0,0.65732
129.0,0.75437
130.0,0.62326
131.0,0.43057
132.0,0.59571
133.0,0.52165
134.0,0.53916
135.0,0.69504
136.0,0.57743
137.0,0.62983
138.0,0.23843
139.0,0.32248
140.0,0.33921
141.0,0.39218
142.0,0.44123
143.0,0.55
144.0,0.56868
145.0,0.59604
146.0,0.57701
147.0,0.49233
148.0,0.63421
149.0,0.58359
150.0,0.31676
151.0,0.61996
152.0,0.60237
153.0,0.61678
154.0,0.49527
155.0,0.63843
156.0,0.61441
157.0,0.56733
158.0,0.21097
159.0,0.70644
160.0,0.67645
161.0,0.66
162.0,0.68669
163.0,0.59821
164.0,0.74101
165.0,0.68388
166.0,0.66636
167.0,0.55407
168.0,0.75792
169.0,0.82183
170.0,0.47755
171.0,0.58833
172.0,0.65
173.0,0.74184
174.0,0.75332
175.0,0.80955
176.0,0.74253
177.0,0.72071
178.0,0.60118
179.0,0.60431
180.0,0.541
181.0,0.55
182.0,0.53125
183.0,0.53384
184.0,0.68129
185.0,0.64201
186.0,0.67635
187.0,0.69837
188.0,0.73518
189.0,0.8393
190.0,0.76564
191.0,0.70122
192.0,0.7
193.0,0.73843
194.0,0.75141
195.0,0.77409
196.0,0.69129
197.0,0.7223
198.0,0.66003
199.0,0.59572
200.0,0.60635
201.0,0.5725
202.0,0.67746
203.0,0.64897
204.0,0.64689
205.0,0.68986
206.0,0.69044
207.0,0.63654
208.0,0.74515
209.0,0.75988
210.0,0.86501
