Time,PET
1.0,0.083033
2.0,0.077032
3.0,0.071745
4.0,0.032022
5.0,0.035792
6.0,0.04973
7.0,0.035636
8.0,0.03134
9.0,0.076812
10.0,0.072677
11.0,0.1072
12.0,0.055821
13.0,0.030977
14.0,0.042822
15.0,0.052201
16.0,0.057722
17.0,0.049044
18.0,0.059033
19.0,0.027874
20.0,0.050226
21.0,0.058499
22.0,0.047977
23.0,0.040586
24.0,0.041788
25.0,0.058004
26.0,0.08031
27.0,0.099508
28.0,0.072402
29.0,0.062358
30.0,0.058968
31.0,0.10446
32.0,0.051292
33.0,0.073913
34.0,0.12625
35.0,0.094772
36.0,0.038135
37.0,0.04501
38.0,0.073258
39.0,0.045043
40.0,0.13066
41.0,0.064431
42.0,0.070959
43.0,0.089928
44.0,0.30119
45.0,0.2169
46.0,0.18554
47.0,0.12777
48.0,0.13102
49.0,0.13995
50.0,0.15245
51.0,0.14687
52.0,0.1726
53.0,0.088218
54.0,0.14642
55.0,0.11358
56.0,0.091687
57.0,0.10326
58.0,0.05
59.0,0.051064
60.0,0.079112
61.0,0.098729
62.0,0.14733
63.0,0.12502
64.0,0.1705
65.0,0.21022
66.0,0.13113
67.0,0.091464
68.0,0.13585
69.0,0.15282
70.0,0.12429
71.0,0.1636
72.0,0.11834
73.0,0.11026
74.0,0.12134
75.0,0.1081
76.0,0.13552
77.0,0.20828
78.0,0.30325
79.0,0.23823
80.0,0.18601
81.0,0.15139
82.0,0.1333
83.0,0.095463
84.0,0.12042
85.0,0.18717
86.0,0.22339
87.0,0.12759
88.0,0.20702
89.0,0.28833
90.0,0.31401
91.0,0.31688
92.0,0.29074
93.0,0.26413
94.0,0.27004
95.0,0.18546
96.0,0.14128
97.0,0.25309
98.0,0.4488
99.0,0.41169
100.0,0.31071
101.0,0.26962
102.0,0.20807
103.0,0.13305
104.0,0.21405
105.0,0.16566
106.0,0.20643
107.0,0.29331
108.0,0.41652
109.0,0.51423
110.0,0.43858
111.0,0.46176
112.0,0.36713
113.0,0.24691
114.0,0.13443
115.0,0.1581
116.0,0.20089
117.0,0.29214
118.0,0.2394
119.0,0.22243
120.0,0.17544
121.0,0.34015
122.0,0.51589
123.0,0.59197
124.0,0.43152
125.0,0.22985
126.0,0.39842
127.0,0.49326
128.0,0.5241
129.0,0.34303
130.0,0.3897
131.0,0.44277
132.0,0.3412
133.0,0.514
134.0,0.57756
135.0,0.38358
136.0,0.26279
137.0,0.3421
138.0,0.37978
139.0,0.29876
140.0,0.18429
141.0,0.39988
142.0,0.20228
143.0,0.24751
144.0,0.18582
145.0,0.30879
146.0,0.37611
147.0,0.27804
148.0,0.21327
149.0,0.16531
150.0,0.27914
151.0,0.41872
152.0,0.50706
153.0,0.36289
154.0,0.30037
155.0,0.4236
156.0,0.59921
157.0,0.58609
158.0,0.55825
159.0,0.51614
160.0,0.3601
161.0,0.28966
162.0,0.29607
163.0,0.21377
164.0,0.3619
165.0,0.185
166.0,0.2109
167.0,0.31077
168.0,0.34638
169.0,0.4397
170.0,0.19789
171.0,0.3603
172.0,0.30986
173.0,0.34681
174.0,0.35308
175.0,0.24562
176.0,0.15453
177.0,0.32302
178.0,0.51731
179.0,0.55466
180.0,0.48918
181.0,0.48219
182.0,0.44497
183.0,0.26469
184.0,0.41594
185.0,0.34702
186.0,0.20016
187.0,0.19957
188.0,0.38616
189.0,0.19031
190.0,0.37983
191.0,0.34711
192.0,0.3078
193.0,0.37591
194.0,0.26527
195.0,0.37618
196.0,0.41734
197.0,0.28152
198.0,0.29501
199.0,0.34443
200.0,0.3431
201.0,0.3733
202.0,0.41728
203.0,0.50449
204.0,0.28859
205.0,0.30875
206.0,0.4521
207.0,0.42696
208.0,0.45542
209.0,0.47909
210.0,0.50039
211.0,0.51436
212.0,0.43847
213.0,0.39656
214.0,0.42101
215.0,0.24989
216.0,0.30712
217.0,0.41744
218.0,0.42087
219.0,0.33195
220.0,0.27625
221.0,0.24856
222.0,0.18565
223.0,0.2909
224.0,0.41455
225.0,0.44584
226.0,0.47737
227.0,0.44538
228.0,0.42007
229.0,0.42948
230.0,0.41183
231.0,0.5573
232.0,0.53525
233.0,0.50638
234.0,0.38105
235.0,0.28456
236.0,0.38063
237.0,0.45636
238.0,0.46223
239.0,0.47488
240.0,0.31803
241.0,0.22502
242.0,0.37798
243.0,0.29435
244.0,0.21933
245.0,0.1886
246.0,0.19491
247.0,0.20234
248.0,0.27298
249.0,0.18899
250.0,0.15569
251.0,0.15878
252.0,0.22179
253.0,0.2533
254.0,0.24021
255.0,0.26852
256.0,0.32314
257.0,0.30183
258.0,0.30352
259.0,0.26895
260.0,0.23672
261.0,0.10564
262.0,0.19735
263.0,0.13628
264.0,0.19893
265.0,0.2444
266.0,0.22054
267.0,0.097134
268.0,0.16914
269.0,0.16506
270.0,0.26512
271.0,0.19995
272.0,0.22751
273.0,0.19033
274.0,0.17344
275.0,0.13303
276.0,0.15753
277.0,0.16291
278.0,0.10317
279.0,0.14374
280.0,0.11722
281.0,0.10178
282.0,0.11135
283.0,0.10778
284.0,0.1105
285.0,0.16106
286.0,0.18498
287.0,0.066493
288.0,0.10259
289.0,0.094273
290.0,0.079831
291.0,0.081359
292.0,0.078724
293.0,0.097865
294.0,0.075462
295.0,0.10646
296.0,0.12043
297.0,0.13099
298.0,0.13266
299.0,0.11203
300.0,0.11867
301.0,0.099763
302.0,0.12957
303.0,0.090582
304.0,0.092084
305.0,0.079498
306.0,0.059027
307.0,0.0437
308.0,0.14826
309.0,0.2472
310.0,0.10729
311.0,0.085504
312.0,0.17138
313.0,0.19125
314.0,0.082135
315.0,0.17766
316.0,0.14725
317.0,0.10622
318.0,0.094246
319.0,0.076258
320.0,0.05011
321.0,0.047458
322.0,0.054817
323.0,0.097272
324.0,0.10986
325.0,0.078746
326.0,0.055593
327.0,0.072211
328.0,0.049204
329.0,0.036342
330.0,0.058158
331.0,0.034786
332.0,0.028068
333.0,0.037533
334.0,0.037714
335.0,0.038997
336.0,0.039532
337.0,0.053109
338.0,0.047535
339.0,0.028215
340.0,0.033609
341.0,0.032607
342.0,0.051967
343.0,0.090971
344.0,0.033331
345.0,0.017282
346.0,0.037778
347.0,0.038037
348.0,0.047538
349.0,0.061895
350.0,0.0312
351.0,0.049597
352.0,0.037134
353.0,0.050981
354.0,0.04724
355.0,0.058185
356.0,0.055312
357.0,0.082139
358.0,0.026815
359.0,0.020811
360.0,0.031065
361.0,0.053526
362.0,0.046964
363.0,0.049972
364.0,0.064858
365.0,0.029051
366.0,0.019408
367.0,0.021882
368.0,0.052337
369.0,0.04794
370.0,0.085916
371.0,0.048846
372.0,0.049691
373.0,0.068952
374.0,0.062876
375.0,0.020392
376.0,0.022619
377.0,0.066526
378.0,0.041494
379.0,0.044955
380.0,0.086261
381.0,0.059361
382.0,0.14529
383.0,0.058257
384.0,0.022713
385.0,0.013938
386.0,0.031842
387.0,0.048846
388.0,0.042099
389.0,0.047555
390.0,0.021658
391.0,0.029624
392.0,0.036823
393.0,0.07989
394.0,0.13807
395.0,0.11057
396.0,0.035977
397.0,0.076978
398.0,0.1216
399.0,0.18034
400.0,0.057229
401.0,0.02471
402.0,0.025751
403.0,0.033693
404.0,0.053413
405.0,0.056655
406.0,0.058843
407.0,0.044176
408.0,0.050213
409.0,0.08702
410.0,0.20903
411.0,0.29717
412.0,0.090887
413.0,0.072495
414.0,0.080365
415.0,0.069457
416.0,0.06131
417.0,0.060053
418.0,0.068794
419.0,0.070482
420.0,0.072561
421.0,0.079444
422.0,0.063408
423.0,0.083718
424.0,0.046723
425.0,0.053676
426.0,0.063787
427.0,0.057747
428.0,0.044338
429.0,0.10185
430.0,0.10449
431.0,0.096384
432.0,0.04233
433.0,0.1014
434.0,0.098885
435.0,0.10501
436.0,0.12354
437.0,0.10464
438.0,0.10137
439.0,0.12494
440.0,0.079712
441.0,0.11535
442.0,0.15245
443.0,0.10141
444.0,0.16396
445.0,0.2386
446.0,0.16223
447.0,0.11496
448.0,0.18519
449.0,0.12724
450.0,0.14359
451.0,0.12909
452.0,0.12334
453.0,0.082443
454.0,0.1068
455.0,0.17463
456.0,0.17812
457.0,0.14679
458.0,0.14625
459.0,0.21524
460.0,0.3124
461.0,0.12298
462.0,0.16281
463.0,0.18335
464.0,0.14817
465.0,0.23476
466.0,0.18545
467.0,0.25845
468.0,0.21714
469.0,0.18804
470.0,0.17933
471.0,0.17906
472.0,0.34471
473.0,0.20892
474.0,0.22129
475.0,0.20686
476.0,0.16726
477.0,0.36132
478.0,0.31563
479.0,0.19782
480.0,0.25329
481.0,0.24008
482.0,0.15894
483.0,0.1449
484.0,0.23869
485.0,0.21068
486.0,0.193
487.0,0.17394
488.0,0.34548
489.0,0.18985
490.0,0.46544
491.0,0.16297
492.0,0.2566
493.0,0.33569
494.0,0.18878
495.0,0.35574
496.0,0.37031
497.0,0.18116
498.0,0.26265
499.0,0.26436
500.0,0.25797
501.0,0.12489
502.0,0.14999
503.0,0.29261
504.0,0.36123
505.0,0.31592
506.0,0.45347
507.0,0.50002
508.0,0.52588
509.0,0.55243
510.0,0.19488
511.0,0.38904
512.0,0.48788
513.0,0.51678
514.0,0.58679
515.0,0.57922
516.0,0.29738
517.0,0.28828
518.0,0.26652
519.0,0.3599
520.0,0.31623
521.0,0.35474
522.0,0.4549
523.0,0.56626
524.0,0.54466
525.0,0.18721
526.0,0.27984
527.0,0.31164
528.0,0.33273
529.0,0.28807
530.0,0.27966
531.0,0.24491
532.0,0.19761
533.0,0.28884
534.0,0.25067
535.0,0.18928
536.0,0.33594
537.0,0.29792
538.0,0.39223
539.0,0.46368
540.0,0.53435
541.0,0.62916
542.0,0.66865
543.0,0.36866
544.0,0.43948
545.0,0.43074
546.0,0.46729
547.0,0.54707
548.0,0.49197
549.0,0.4755
550.0,0.44857
551.0,0.47491
552.0,0.55958
553.0,0.57781
554.0,0.488
555.0,0.45762
556.0,0.40212
557.0,0.36433
558.0,0.41853
559.0,0.40907
